# SEPSB stress telemetry v1 | reflex_latency_us: in-process soil_core.wasm reflex (µs) | hyperliquid band: 15-45µs | cap: <100µs
case_id,set_type,venue,expected_verdict,actual_verdict,is_correct,reflex_latency_us,tpr_rate,fpr_rate,hardware_spec,timestamp
toxic-infinite-approve-erc20,toxic,gmx,block,block,true,35.343,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
toxic-permit2-infinite-approve,toxic,gmx,block,block,true,12.71,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
toxic-domain-drift-eip712,toxic,pendle,block,block,true,41.565,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
toxic-ai-4th-strike-retry,toxic,hyperliquid,block,block,true,25.006,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
toxic-gmx-oi-skew,toxic,gmx,block,block,true,22.601,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
toxic-pendle-oracle-lag,toxic,pendle,block,block,true,42.543,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
toxic-usdai-peg-drift,toxic,usdai,block,block,true,47.523,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
toxic-usdai-oracle-stale,toxic,usdai,block,block,true,22.441,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
toxic-hyperliquid-spread-jitter,toxic,hyperliquid,block,block,true,15.004,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
toxic-hyperliquid-session-velocity,toxic,hyperliquid,block,block,true,35.002,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
toxic-variational-stale-quote,toxic,variational,block,block,true,37.216,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
toxic-variational-olp-threshold,toxic,variational,block,block,true,38.181,100.0,0.0,Intel(R) Core(TM) Ultra 7 155H|22c|x64|linux|v24.18.0,2026-09-15T03:11:00.126Z
